trip_id,ride_id,stop_number,location,wait_mins,km_to_next
BB8B9495,RID0022,3,Airport,15,8.75
28891972,RID0023,1,Office,15,11.58
00D71423,RID0024,1,Station,8,6.11
F61E8C74,RID0025,1,Office,2,3.7
FC608633,RID0026,1,Home,2,8.52
4C003C62,RID0026,2,Office,9,7.74
A1FF4D8F,RID0026,3,Mall,0,6.16
231BD8A3,RID0027,1,Hospital,10,5.63
EE238E18,RID0027,2,Mall,9,2.84
6CF0E535,RID0027,3,Home,9,9.0
780A7E51,RID0028,1,Mall,1,7.92
9C2BD151,RID0028,2,Office,5,7.3
8273EE27,RID0028,3,Home,9,9.9
77C528A1,RID0029,1,Airport,9,6.33
0BB90B98,RID0029,2,Station,2,10.37
535EE319,RID0029,3,Mall,8,2.46
157F58C1,RID0030,1,Mall,8,1.16
081919F7,RID0030,2,Airport,5,11.01
241E851D,RID0031,1,Station,14,5.07
B54447F3,RID0031,2,Station,8,9.61
FA1ACC44,RID0031,3,Station,15,2.99
AE6F7306,RID0032,1,Airport,10,11.82
6A8982C5,RID0032,2,Station,4,10.21
5E392F6E,RID0032,3,Hospital,12,3.62
140F3269,RID0033,1,Home,5,3.32
DF7DDE93,RID0033,2,Home,11,1.6
CB6E8263,RID0034,1,Airport,1,2.84
8AF7FB0A,RID0034,2,Hospital,15,4.32
DBE77FB8,RID0035,1,Office,7,5.18
F277B061,RID0035,2,Home,12,6.22
86CC94FD,RID0035,3,Station,13,1.13
C1C89CF4,RID0036,1,Hospital,10,11.58
F955F2B8,RID0036,2,Home,1,2.07
2B1BFAF0,RID0037,1,Home,11,11.52
0AAB77C4,RID0037,2,Hospital,8,4.68
C76BBED7,RID0037,3,Mall,3,3.81
3D0FE69D,RID0038,1,Hospital,14,9.5
B91599A6,RID0038,2,Home,7,9.08
7766A97F,RID0038,3,Office,6,6.72
1AEC5BF7,RID0039,1,Home,5,4.45
21248BDC,RID0039,2,Airport,0,10.15
DDC61200,RID0039,3,Airport,13,2.07
282917A5,RID0040,1,Home,14,4.87
08D5ACDE,RID0041,1,Mall,8,3.12
E96DEC63,RID0041,2,Airport,2,1.63
C9A8856F,RID0041,3,Office,6,11.46
E8B305B3,RID0042,1,Airport,3,1.95
1BA9289D,RID0042,2,Office,4,5.14
A59392CA,RID0042,3,Home,5,10.86
6C6CA501,RID0043,1,Station,8,4.24
A29034BE,RID0043,2,Home,2,8.03
2CE27A65,RID0043,3,Mall,13,8.61
DC586107,RID0044,1,Mall,8,2.78
1EE06FCE,RID0044,2,Airport,8,9.55
33AA7CC7,RID0044,3,Hospital,12,4.66
DBB5DA0C,RID0045,1,Mall,8,2.96
70323931,RID0046,1,Hospital,6,7.71
DEEE919A,RID0047,1,Home,15,2.19
B8D7AC61,RID0048,1,Hospital,6,7.75
AC2F1BA6,RID0048,2,Airport,14,8.87
50711B35,RID0048,3,Airport,1,1.8
F9C4DE27,RID0049,1,Home,8,9.55
9834637A,RID0049,2,Airport,15,2.64
FD51A39F,RID0049,3,Home,0,11.26
056E135A,RID0050,1,Hospital,8,2.67
687E797B,RID0050,2,Mall,12,7.32
EED3ECB5,RID0050,3,Office,15,6.26
DE5C28CA,RID0051,1,Home,2,6.94
E6E11C97,RID0051,2,Airport,12,11.5
24D5EBCA,RID0052,1,Airport,11,4.67
18D3AF62,RID0052,2,Mall,12,1.61
33E22A67,RID0053,1,Airport,11,6.88
98190777,RID0053,2,Mall,2,10.25
6246F416,RID0053,3,Mall,6,2.94
6AC40917,RID0054,1,Hospital,6,4.29
A6EADCC6,RID0055,1,Airport,11,6.35
C88C5099,RID0055,2,Home,14,9.09
9480F893,RID0056,1,Airport,6,1.28
E9190177,RID0057,1,Station,15,5.28
0ACAAE88,RID0057,2,Office,9,6.5
56F422D3,RID0057,3,Hospital,0,1.41
BA1FE1A1,RID0058,1,Mall,1,5.46
35026AC0,RID0059,1,Home,14,11.34
1D140DD6,RID0060,1,Station,7,11.17
AC574A84,RID0060,2,Airport,4,6.38
BFA78F7B,RID0060,3,Airport,15,10.98
B9E9054D,RID0061,1,Airport,7,8.71
888F733E,RID0061,2,Station,0,2.89
A6562529,RID0061,3,Airport,9,10.03
F40E7043,RID0062,1,Hospital,5,10.19
2AE68177,RID0063,1,Airport,3,6.47
A7B3164D,RID0064,1,Station,2,9.85
1562C908,RID0064,2,Hospital,10,9.93
3350B989,RID0064,3,Home,12,4.57
9609F646,RID0065,1,Office,4,4.54
226A5E0E,RID0065,2,Station,1,7.52
5C68E633,RID0065,3,Mall,2,2.33
84458E90,RID0066,1,Hospital,5,8.66
5B0AF0D1,RID0067,1,Station,14,3.68
B0A20BE2,RID0067,2,Office,1,2.47
F5CD7564,RID0067,3,Home,12,9.55
29D66C9E,RID0068,1,Hospital,2,1.07
5F7CBB92,RID0069,1,Airport,9,5.58
4BA22B5E,RID0070,1,Home,4,3.27
41D96668,RID0070,2,Home,8,6.75
DE07296F,RID0071,1,Station,5,7.72
E925B8AF,RID0071,2,Airport,5,8.89
57EB0DC4,RID0072,1,Airport,9,4.83
7B09A40A,RID0072,2,Airport,7,3.11
566FDFB5,RID0072,3,Office,3,7.81
74F8C879,RID0073,1,Office,7,6.11
2AC738D0,RID0073,2,Home,6,4.04
B5245CE9,RID0073,3,Station,3,9.76
B0AFCE7C,RID0074,1,Hospital,15,2.94
B3DCCC8E,RID0074,2,Home,1,1.59
345BFF3C,RID0074,3,Mall,9,3.31
C5C8CDF7,RID0075,1,Mall,14,1.48
58E5B31E,RID0075,2,Home,1,11.17
F5A8611C,RID0076,1,Station,0,6.34
4BAEFEC0,RID0077,1,Airport,7,8.94
37C1F720,RID0078,1,Office,10,5.61
0686BD10,RID0078,2,Home,10,3.53
039249C0,RID0078,3,Airport,10,3.51
B0637E90,RID0079,1,Home,13,10.57
7C25E21D,RID0080,1,Station,2,6.18
FA21885F,RID0080,2,Hospital,1,10.8
686816D4,RID0081,1,Station,14,2.96
2569A1D9,RID0082,1,Station,14,8.92
BE2C48AC,RID0082,2,Home,11,11.73
527F01E0,RID0083,1,Mall,4,1.35
F6F52F88,RID0084,1,Airport,8,2.5
3D857251,RID0084,2,Hospital,14,5.6
05AF771D,RID0084,3,Mall,7,10.75
FCB43CE0,RID0085,1,Station,5,7.36
DC3A37E0,RID0085,2,Office,7,1.95
727AC1B3,RID0085,3,Office,15,10.48
678E96C7,RID0086,1,Office,15,10.21
17A0F8E7,RID0087,1,Airport,13,9.1
B0462D06,RID0087,2,Station,7,4.6
B52E92DC,RID0088,1,Station,4,11.05
8E333EEC,RID0088,2,Airport,13,11.78
91FCD348,RID0088,3,Airport,15,9.07
523C0701,RID0089,1,Airport,13,6.84
56459031,RID0089,2,Hospital,3,5.98
CD9DB300,RID0089,3,Station,2,7.14
3A6E2691,RID0090,1,Home,13,11.45
EE7CAB43,RID0091,1,Mall,9,3.63
62DDEAC8,RID0092,1,Airport,15,8.36
70F88884,RID0093,1,Home,14,10.44
6AF855EF,RID0094,1,Office,0,11.74
C9FD44EE,RID0094,2,Hospital,4,10.62
5496C28E,RID0094,3,Hospital,5,9.69
BE756EED,RID0095,1,Home,14,8.74
920E0716,RID0095,2,Airport,2,5.23
E6422841,RID0096,1,Mall,1,4.26
377C5282,RID0096,2,Mall,6,9.66
2FC13683,RID0096,3,Airport,10,9.09
2FEB8608,RID0097,1,Office,11,10.77
5292DA35,RID0098,1,Hospital,11,6.12
C3C9F568,RID0099,1,Mall,11,2.93
2D211A2F,RID0100,1,Home,2,7.17
1D87FB8C,RID0100,2,Station,4,11.79
70DA7F29,RID0100,3,Station,3,8.14
98012ABE,RID0101,1,Office,6,9.28
74235A21,RID0101,2,Station,10,4.88
DDAD7E82,RID0101,3,Mall,13,4.05
9BAF47FE,RID0102,1,Mall,11,5.98
810DB881,RID0103,1,Office,3,6.17
16C3997F,RID0103,2,Office,9,5.97
BC9009D2,RID0103,3,Mall,2,3.07
1134E4D2,RID0104,1,Airport,2,5.3
DDF99B27,RID0104,2,Station,9,11.54
686CF584,RID0105,1,Airport,5,4.04
62C3B701,RID0106,1,Station,15,2.66
14A3DAA9,RID0106,2,Station,0,4.22
A3086370,RID0106,3,Home,4,6.21
5A8FDA6E,RID0107,1,Hospital,0,4.21
DB88D329,RID0107,2,Airport,0,10.59
4006856A,RID0108,1,Office,10,5.53
2269CA82,RID0109,1,Home,10,6.35
1A252BAE,RID0109,2,Home,14,6.04
585896DA,RID0110,1,Station,9,2.89
151895E3,RID0110,2,Mall,7,6.33
98B078BB,RID0110,3,Mall,1,2.63
7A24AF5B,RID0111,1,Hospital,5,7.8
7602229F,RID0111,2,Station,9,3.01
5B421257,RID0112,1,Home,4,2.77
64232E03,RID0113,1,Airport,10,7.32
72A14224,RID0114,1,Mall,11,3.03
F6AE2A02,RID0114,2,Office,1,8.32
6511205C,RID0115,1,Station,11,5.93
78E32270,RID0115,2,Station,9,2.34
AF500323,RID0116,1,Hospital,15,9.45
ECEEC5B3,RID0117,1,Mall,4,1.05
93EDB4FC,RID0117,2,Home,10,8.12
1E64C460,RID0118,1,Hospital,9,11.67
9DABDFA9,RID0118,2,Office,4,9.8
4EB43383,RID0119,1,Hospital,10,8.58
1B5B1E9E,RID0119,2,Home,15,10.9
A7AAF4FB,RID0119,3,Station,3,4.39
B8B81925,RID0120,1,Office,7,5.91
5B5C4AD6,RID0120,2,Airport,10,1.61
F9D995BE,RID0121,1,Station,7,9.59
A86B74E8,RID0121,2,Mall,6,1.25
16A9E162,RID0121,3,Office,14,8.45
233215AE,RID0122,1,Office,12,3.14
19BAD647,RID0123,1,Office,1,10.99
37A3F946,RID0123,2,Mall,12,2.63
060B1D5B,RID0124,1,Mall,12,5.1
A1441751,RID0124,2,Mall,11,4.86
BED39F09,RID0125,1,Office,2,3.37
C40F57EF,RID0125,2,Hospital,13,9.84
382C53CE,RID0126,1,Station,13,9.01
D87CAC73,RID0126,2,Hospital,4,10.19
CBC90BA3,RID0127,1,Airport,4,3.29
F4840BFD,RID0127,2,Hospital,10,1.73
B9F31730,RID0127,3,Office,12,1.97
F4C0F1EF,RID0128,1,Home,8,5.56
C0E674A7,RID0128,2,Office,14,8.81
C522D4E9,RID0129,1,Station,5,10.16
13F9D023,RID0130,1,Office,15,1.46
B9D08687,RID0130,2,Mall,9,6.44
45895FBB,RID0131,1,Hospital,7,1.3
A7D5D843,RID0131,2,Airport,4,3.89
401AEC68,RID0131,3,Home,15,2.37
C503FEFB,RID0132,1,Mall,13,2.97
C98E5D28,RID0132,2,Home,7,1.31
24696DC6,RID0132,3,Mall,15,11.94
14C9A3CB,RID0133,1,Office,11,7.39
3E7C682F,RID0134,1,Hospital,8,7.91
EF36EB5F,RID0134,2,Hospital,3,5.11
B3A3895E,RID0134,3,Home,0,10.3
7D84735F,RID0135,1,Office,1,2.61
8EEA97C6,RID0136,1,Home,4,4.93
351DAD90,RID0136,2,Airport,8,4.97
579556A7,RID0137,1,Mall,1,4.19
AB75C4D5,RID0137,2,Office,2,6.65
27C9E742,RID0137,3,Home,5,9.41
665B9218,RID0138,1,Station,10,10.6
58E0DE10,RID0138,2,Home,9,3.99
BA34ECEE,RID0138,3,Home,11,2.05
AB763A29,RID0139,1,Mall,4,1.14
515AF01F,RID0139,2,Office,9,5.1
8356BA32,RID0139,3,Hospital,13,4.74
84B40697,RID0140,1,Airport,6,2.7
80981BA1,RID0141,1,Station,3,5.59
0314E6B4,RID0142,1,Airport,4,11.16
21CF5AD3,RID0143,1,Mall,9,8.6
3A2E8759,RID0143,2,Station,14,10.79
8A3C11A4,RID0144,1,Office,10,2.89
A8329D3F,RID0144,2,Mall,0,9.19
D874AA55,RID0144,3,Airport,7,2.42
249A0075,RID0145,1,Station,7,4.38
456F6517,RID0145,2,Station,4,11.79
5D4F69E1,RID0145,3,Hospital,3,1.86
5B74BBAF,RID0146,1,Hospital,1,3.16
2F8DBD9E,RID0146,2,Airport,1,6.16
29D189FF,RID0147,1,Airport,2,4.32
128AFCB6,RID0147,2,Airport,3,9.61
A9FF2DE8,RID0148,1,Station,6,3.03
FDF09451,RID0148,2,Mall,0,2.0
5F3759CA,RID0148,3,Home,8,11.44
2146821A,RID0149,1,Mall,5,10.41
81DDC239,RID0149,2,Home,7,6.55
6C0250D1,RID0150,1,Airport,0,6.82
FBC47AF1,RID0151,1,Station,9,2.89
078B732C,RID0151,2,Office,0,11.71
3EB7C1AA,RID0151,3,Airport,6,11.13
0C81E9B8,RID0152,1,Hospital,11,8.68
211F4BCB,RID0152,2,Station,14,8.41
D6C1490E,RID0152,3,Airport,5,10.18
EAA3D7D6,RID0153,1,Hospital,6,6.66
65F79EBE,RID0153,2,Hospital,3,9.38
D5B23945,RID0154,1,Airport,14,2.21
11C9DA4B,RID0154,2,Station,15,9.39
E0500ACF,RID0155,1,Mall,1,1.9
4B169C5B,RID0155,2,Hospital,3,5.23
593959E5,RID0155,3,Hospital,9,8.56
5557FDD0,RID0156,1,Station,13,4.2
63606761,RID0156,2,Hospital,6,10.42
EA88C963,RID0157,1,Home,11,2.97
FA870249,RID0157,2,Home,15,8.39
43DE05A8,RID0158,1,Hospital,2,2.31
70769230,RID0158,2,Hospital,12,8.65
78135C4A,RID0159,1,Home,5,1.71
79C73776,RID0160,1,Mall,6,7.54
BBBF48AD,RID0161,1,Airport,7,10.22
F3CC8209,RID0161,2,Home,15,4.06
6DB74102,RID0162,1,Office,8,9.32
74621325,RID0162,2,Home,12,4.92
645277E5,RID0162,3,Home,12,11.86
FC831D0B,RID0163,1,Mall,4,9.45
F020F89A,RID0163,2,Airport,3,3.76
2F0E31AD,RID0163,3,Hospital,7,7.91
CDBC1F09,RID0164,1,Airport,3,9.12
344668F9,RID0165,1,Hospital,0,11.69
54E53EC6,RID0166,1,Office,10,2.68
9297D380,RID0166,2,Office,3,9.36
0FE7CB18,RID0167,1,Office,15,9.72
A9B247D9,RID0167,2,Station,9,8.28
470CC3DC,RID0167,3,Hospital,8,6.97
52AF7C9D,RID0168,1,Office,0,11.48
899B6126,RID0168,2,Airport,13,10.68
DACBCE4A,RID0168,3,Airport,12,5.95
1CF617B7,RID0169,1,Hospital,14,1.4
3C6750F9,RID0169,2,Station,9,10.73
806C6037,RID0170,1,Hospital,13,2.48
EB266B63,RID0171,1,Hospital,15,9.4
332A93C5,RID0171,2,Office,15,8.26
797B47D1,RID0171,3,Home,15,6.24
739B74F7,RID0172,1,Office,1,5.31
BD12DD1E,RID0173,1,Office,12,7.79
0DDE1ACB,RID0173,2,Mall,9,4.53
DB901A5E,RID0174,1,Office,1,2.41
3DAF5F28,RID0175,1,Mall,0,9.42
5604663A,RID0175,2,Home,10,5.19
2813F06E,RID0176,1,Mall,11,5.53
66770457,RID0176,2,Airport,7,3.72
F6EA6A5C,RID0177,1,Mall,2,11.01
4FACA2CA,RID0177,2,Airport,9,2.26
A9C75017,RID0177,3,Station,0,6.92
8C4EA773,RID0178,1,Hospital,13,7.25
39C7149D,RID0179,1,Mall,0,8.66
C32A1364,RID0179,2,Office,0,11.84
1394CB62,RID0180,1,Office,12,4.55
8DD70EAA,RID0180,2,Airport,15,2.1
E9F43987,RID0181,1,Station,10,6.46
D2641F61,RID0181,2,Home,10,2.83
3E73D4D7,RID0181,3,Mall,11,11.66
D9277DCB,RID0182,1,Hospital,2,10.24
C3F747D1,RID0183,1,Station,9,3.92
C2F5E47F,RID0183,2,Mall,12,9.85
EEAE9E30,RID0183,3,Office,2,8.89
4FCF065D,RID0184,1,Airport,10,4.01
D041D403,RID0184,2,Office,15,5.7
EAA78DAD,RID0184,3,Mall,2,8.17
A59EDB36,RID0185,1,Office,9,5.76
B6389AA9,RID0185,2,Office,10,3.2
C540A477,RID0186,1,Mall,14,8.39
B81478C8,RID0186,2,Office,5,10.69
F88D9EE2,RID0187,1,Home,5,7.35
F638D69A,RID0187,2,Station,14,3.95
05E18744,RID0187,3,Home,13,11.28
FAC79165,RID0188,1,Home,1,6.74
C5502E66,RID0188,2,Mall,14,2.63
0B0843A2,RID0188,3,Station,9,10.29
B1E406B0,RID0189,1,Mall,2,7.97
1F219FD2,RID0189,2,Hospital,8,10.06
9565FFA4,RID0190,1,Station,8,8.56
847482B0,RID0190,2,Station,12,3.62
C5C98E4A,RID0190,3,Station,6,1.3
9044ECEC,RID0191,1,Hospital,15,7.16
39BE1CED,RID0191,2,Hospital,13,8.12
2B8431C2,RID0192,1,Station,5,4.0
9CD3B9F6,RID0193,1,Mall,8,8.25
40AB74F5,RID0194,1,Home,1,11.6
DCAF06F2,RID0195,1,Airport,1,10.46
69221AC6,RID0195,2,Airport,10,7.62
4285551A,RID0196,1,Hospital,11,8.39
A0619233,RID0197,1,Hospital,4,3.6
9886F073,RID0198,1,Home,3,6.74
2598CE4A,RID0198,2,Office,8,6.46
8960F64F,RID0198,3,Airport,7,7.6
527E65F0,RID0199,1,Mall,12,9.86
44BF7FC7,RID0199,2,Home,7,11.29
25559A81,RID0200,1,Station,3,2.93
39F2149E,RID0201,1,Hospital,13,3.8
B67AD3FB,RID0201,2,Office,1,6.39
F08D98FE,RID0202,1,Home,3,4.48
D7BB1EA9,RID0202,2,Hospital,15,8.51
811AE431,RID0203,1,Station,11,6.23
FEF42435,RID0203,2,Mall,9,1.23
B7170549,RID0204,1,Airport,1,8.6
6A85E9EA,RID0204,2,Home,7,3.78
E88EF17C,RID0204,3,Hospital,9,8.03
A7970066,RID0205,1,Mall,3,6.88
334EAF14,RID0205,2,Station,14,5.27
6D04701C,RID0205,3,Hospital,8,4.31
74E7DC42,RID0206,1,Mall,6,10.45
5156D064,RID0207,1,Hospital,10,10.67
740FF211,RID0208,1,Hospital,1,4.01
A960490D,RID0208,2,Airport,15,6.18
AFB0DA44,RID0208,3,Hospital,10,8.89
071A8AAD,RID0209,1,Station,8,6.57
D96100AF,RID0210,1,Hospital,10,5.99
A3640EB0,RID0210,2,Airport,1,8.06
B37B5838,RID0211,1,Home,14,9.7
7D9A60F8,RID0212,1,Airport,12,3.2
502A07ED,RID0213,1,Mall,2,2.22
EF3CF678,RID0213,2,Station,4,10.32
EE9F0AE5,RID0214,1,Hospital,10,5.97
25D41918,RID0214,2,Home,4,3.87
C48C38ED,RID0214,3,Home,10,9.79
69304357,RID0215,1,Airport,13,5.04
3C21E275,RID0216,1,Hospital,7,1.23
6F1B2E4F,RID0216,2,Airport,7,10.98
25EE9CF0,RID0217,1,Station,8,8.71
0087BE14,RID0217,2,Station,1,5.41
FA0D10AE,RID0218,1,Office,8,2.64
01C6CE39,RID0218,2,Mall,5,11.42
DC07CE88,RID0219,1,Airport,13,9.51
BFCC6E0F,RID0220,1,Home,15,2.3
9CD6102B,RID0220,2,Home,6,3.1
403A7D6C,RID0221,1,Mall,15,5.2
92D49F68,RID0221,2,Hospital,6,7.6
0665E050,RID0222,1,Home,6,5.6
3ED62728,RID0222,2,Hospital,4,1.32
EE927897,RID0223,1,Station,14,10.98
9F2A4E11,RID0223,2,Mall,14,1.94
299586AA,RID0224,1,Station,10,11.72
890D1AC8,RID0224,2,Hospital,6,8.85
0BB20203,RID0225,1,Hospital,8,1.8
36A3D100,RID0225,2,Office,1,1.57
69AD3DDD,RID0225,3,Station,15,10.99
713A8574,RID0226,1,Home,1,1.06
3A803A8C,RID0226,2,Office,12,4.33
E58AFA4E,RID0226,3,Hospital,11,2.45
7459FFC7,RID0227,1,Airport,5,3.86
A2617DF6,RID0227,2,Office,15,11.23
30D62AE3,RID0227,3,Hospital,4,1.99
CBE1798B,RID0228,1,Office,13,2.56
1D9C1ABA,RID0228,2,Airport,10,1.49
D89C8298,RID0228,3,Station,15,10.59
48EAD138,RID0229,1,Home,11,11.19
EF202D66,RID0229,2,Mall,8,7.74
55CAF821,RID0230,1,Office,10,5.79
854E2DAC,RID0230,2,Station,10,9.11
FCFA1503,RID0231,1,Station,14,1.59
CAC73A31,RID0231,2,Station,1,3.53
AE36608B,RID0232,1,Hospital,8,2.8
20C3D461,RID0233,1,Hospital,3,11.95
12FE4374,RID0233,2,Hospital,1,5.86
5F2A3FFA,RID0234,1,Office,15,6.04
7F05E7A1,RID0234,2,Airport,4,2.36
FB3F9D4C,RID0234,3,Airport,6,10.55
52520C18,RID0235,1,Station,8,7.2
2AE48A8B,RID0236,1,Office,6,7.42
8DB4FA27,RID0236,2,Airport,5,5.58
CDDD81DF,RID0236,3,Airport,7,9.45
239BD18F,RID0237,1,Airport,10,1.29
52F6E1A0,RID0237,2,Home,3,5.34
2A853A98,RID0237,3,Office,3,10.21
C66EF045,RID0238,1,Airport,2,6.06
1F8ABA8C,RID0239,1,Home,15,5.99
AC7B91D8,RID0239,2,Mall,0,4.62
337A468A,RID0239,3,Airport,14,4.57
D36972CF,RID0240,1,Home,4,3.33
1A4BB6F6,RID0240,2,Airport,9,4.55
411DC293,RID0240,3,Airport,2,7.02
5F9400DA,RID0241,1,Hospital,2,5.39
11D78DD9,RID0241,2,Station,7,11.62
64DFD8A6,RID0241,3,Hospital,2,1.23
913941DE,RID0242,1,Station,12,9.57
262C7FF6,RID0243,1,Home,4,2.33
FD5266D2,RID0243,2,Hospital,13,9.09
022B116D,RID0244,1,Home,4,4.95
967DC41B,RID0244,2,Airport,11,6.64
196F6D2F,RID0245,1,Hospital,12,6.24
924D46FE,RID0245,2,Office,13,1.99
5BD91FAB,RID0246,1,Mall,5,5.78
84616792,RID0246,2,Hospital,2,1.44
835B0002,RID0247,1,Hospital,7,8.12
D63C0FE1,RID0247,2,Home,4,11.24
0FE86EC7,RID0248,1,Home,2,4.2
45AB401D,RID0248,2,Hospital,2,10.98
A4371BD6,RID0248,3,Hospital,9,2.63
C75A0D7D,RID0249,1,Home,9,10.26
DF926956,RID0250,1,Hospital,9,7.25
B2D01D66,RID0250,2,Office,2,11.09
28E2FB27,RID0250,3,Office,3,6.62
E7731180,RID0251,1,Airport,14,8.27
3807C059,RID0251,2,Office,8,4.91
8A6ADEBD,RID0252,1,Airport,0,2.25
B2A4A704,RID0252,2,Home,14,2.98
290106CE,RID0252,3,Station,12,1.5
39EFC78A,RID0253,1,Home,9,4.45
8F7BD17C,RID0253,2,Home,14,9.33
C6B9C213,RID0254,1,Office,8,4.75
75112941,RID0254,2,Station,6,3.04
8585D165,RID0255,1,Office,8,10.59
270CE9BD,RID0255,2,Airport,13,6.88
EF20C516,RID0255,3,Airport,12,2.28
46DF7A22,RID0256,1,Home,15,6.06
500183A4,RID0257,1,Home,15,4.33
2BFE3D0E,RID0257,2,Office,11,8.6
A200567D,RID0258,1,Home,12,9.85
52349301,RID0258,2,Airport,4,2.49
C53167A3,RID0258,3,Station,3,9.98
EAE13717,RID0259,1,Station,0,3.3
464759CE,RID0259,2,Home,4,8.15
2FDEF412,RID0259,3,Hospital,6,1.95
3D3B72B9,RID0260,1,Station,15,5.64
ED026D2A,RID0260,2,Airport,5,10.93
20761D74,RID0261,1,Home,14,11.6
951BF3A4,RID0261,2,Hospital,0,10.46
57DA5310,RID0261,3,Office,7,3.21
8F396E95,RID0262,1,Hospital,1,4.67
BB131A00,RID0262,2,Airport,13,11.77
6D5B839A,RID0262,3,Hospital,9,1.41
849A81EF,RID0263,1,Hospital,15,3.55
F7F77329,RID0263,2,Airport,0,5.64
18AFA48B,RID0264,1,Office,2,3.95
2D45D7B9,RID0264,2,Home,13,10.78
CBFDCEF7,RID0265,1,Hospital,11,5.93
8EF571FA,RID0266,1,Airport,5,4.17
331F0924,RID0266,2,Station,15,4.78
0A46A907,RID0267,1,Office,7,7.46
D7399F9D,RID0268,1,Mall,14,2.44
11012BAC,RID0268,2,Mall,12,11.56
9FFCECDD,RID0268,3,Home,11,9.76
6F67353C,RID0269,1,Office,6,4.11
1A451C2D,RID0270,1,Airport,15,2.42
80FD8E4F,RID0270,2,Station,5,7.66
4CF5DEFD,RID0270,3,Airport,13,11.37
73E72980,RID0271,1,Mall,7,3.3
ACA31E8B,RID0271,2,Airport,0,4.95
ED5F4F75,RID0272,1,Mall,5,2.92
C933DDB0,RID0272,2,Office,1,9.87
591385F2,RID0273,1,Hospital,3,7.79
E907635D,RID0273,2,Airport,7,6.35
01454F2D,RID0274,1,Mall,1,9.47
6648E679,RID0274,2,Office,8,10.86
69EE12B4,RID0275,1,Office,3,8.77
ADD3F45F,RID0275,2,Hospital,14,11.59
D81778D0,RID0275,3,Airport,3,9.6
58D109B7,RID0276,1,Airport,1,6.58
F8CB3E41,RID0276,2,Station,3,10.58
D1D09FC9,RID0276,3,Mall,5,9.01
A1A8AD8C,RID0277,1,Hospital,15,9.06
4C25B6C0,RID0277,2,Airport,4,8.12
AFF910C3,RID0277,3,Mall,4,2.35
2C9EAB09,RID0278,1,Hospital,13,9.46
BFADEB17,RID0279,1,Station,15,4.75
09A0777F,RID0280,1,Station,2,3.93
4B56089A,RID0280,2,Home,13,4.97
6467AA87,RID0280,3,Home,7,2.67
B5FD0922,RID0281,1,Hospital,7,2.52
97F39725,RID0281,2,Hospital,13,11.1
9A4D78E2,RID0281,3,Hospital,11,11.38
74D3B4D6,RID0282,1,Station,0,8.89
25253245,RID0282,2,Office,2,1.93
9CC165F7,RID0283,1,Hospital,5,5.77
2FA141A3,RID0283,2,Hospital,1,8.26
BD44E488,RID0284,1,Station,1,11.76
90B322FC,RID0284,2,Home,9,5.61
D349E0BD,RID0284,3,Home,9,8.94
A51C2916,RID0285,1,Mall,0,10.1
42D9E555,RID0285,2,Office,4,8.7
A5143DF4,RID0286,1,Home,6,10.76
C9B230BA,RID0286,2,Office,14,8.67
2FAFA264,RID0287,1,Hospital,6,10.69
E5E79F43,RID0287,2,Airport,1,6.91
E7B0DB95,RID0287,3,Hospital,4,6.73
331C65A9,RID0288,1,Mall,6,2.02
